TierID_TVD;Rasse;ebv_LBEB_FUGLIEDERSTAERKE;rel_LBEB_FUGLIEDERSTAERKE;nDau_LBEB_FUGLIEDERSTAERKE;nHerd_LBEB_FUGLIEDERSTAERKE;ebv_LBEB_FUSTELLUNGVORNE;rel_LBEB_FUSTELLUNGVORNE;nDau_LBEB_FUSTELLUNGVORNE;nHerd_LBEB_FUSTELLUNGVORNE;ebv_LBEB_FUSPRUNGGELENKWINKELUNG;rel_LBEB_FUSPRUNGGELENKWINKELUNG;nDau_LBEB_FUSPRUNGGELENKWINKELUNG;nHerd_LBEB_FUSPRUNGGELENKWINKELUNG;ebv_LBEB_FUFESSELN;rel_LBEB_FUFESSELN;nDau_LBEB_FUFESSELN;nHerd_LBEB_FUFESSELN;ebv_LBEB_FUKLAUEN;rel_LBEB_FUKLAUEN;nDau_LBEB_FUKLAUEN;nHerd_LBEB_FUKLAUEN;ebv_LBEB_FOEUTERLAENGE;rel_LBEB_FOEUTERLAENGE;nDau_LBEB_FOEUTERLAENGE;nHerd_LBEB_FOEUTERLAENGE;ebv_LBEB_FOEUTERTIEFE;rel_LBEB_FOEUTERTIEFE;nDau_LBEB_FOEUTERTIEFE;nHerd_LBEB_FOEUTERTIEFE;ebv_LBEB_FOZITZENLAENGE;rel_LBEB_FOZITZENLAENGE;nDau_LBEB_FOZITZENLAENGE;nHerd_LBEB_FOZITZENLAENGE;ebv_LBEB_FOZITZENDICKE;rel_LBEB_FOZITZENDICKE;nDau_LBEB_FOZITZENDICKE;nHerd_LBEB_FOZITZENDICKE;ebv_LBEB_BEKONDITION;rel_LBEB_BEKONDITION;nDau_LBEB_BEKONDITION;nHerd_LBEB_BEKONDITION;ebv_LBEB_BESCHULTER;rel_LBEB_BESCHULTER;nDau_LBEB_BESCHULTER;nHerd_LBEB_BESCHULTER;ebv_LBEB_BELENDEN;rel_LBEB_BELENDEN;nDau_LBEB_BELENDEN;nHerd_LBEB_BELENDEN;ebv_LBEB_BESTOTZENRUNDUNG;rel_LBEB_BESTOTZENRUNDUNG;nDau_LBEB_BESTOTZENRUNDUNG;nHerd_LBEB_BESTOTZENRUNDUNG;ebv_LBEB_BESTOTZENLAENGE;rel_LBEB_BESTOTZENLAENGE;nDau_LBEB_BESTOTZENLAENGE;nHerd_LBEB_BESTOTZENLAENGE
CA000003757139;SI;90.921;0.432;8;4;115.922;0.375;8;4;93.478;0.429;8;4;117.023;0.43;8;4;120.815;0.265;8;4;116.1;0.36;8;4;83.096;0.378;8;4;107.745;0.51;8;4;118.722;0.44;8;4;67.552;0.385;8;4;58.515;0.439;8;4;68.48;0.424;8;4;45.729;0.44;8;4;69.126;0.367;8;4
CA000006248962;AN;113.35;0.057;1;1;111.963;0.046;1;1;98.231;0.058;1;1;105.883;0.058;1;1;110.75;0.034;1;1;123.93;0.044;1;1;90.83;0.047;1;1;112.02;0.077;1;1;102.368;0.061;1;1;123.105;0.049;1;1;98.328;0.059;1;1;93.17;0.056;1;1;59.811;0.059;1;1;102.495;0.048;1;1
CA000006573231;SI;92.908;0.11;2;1;117.582;0.09;2;1;87.457;0.113;2;1;111.694;0.113;2;1;121.952;0.066;2;1;132.31;0.085;2;1;85.231;0.092;2;1;102.766;0.147;2;1;104.808;0.118;2;1;88.113;0.096;2;1;81.96;0.114;2;1;87.991;0.109;2;1;65.777;0.114;2;1;90.075;0.093;2;1
CA000007521743;AN;111.616;0.066;1;1;109.889;0.054;1;1;97.494;0.068;1;1;106.218;0.068;1;1;107.186;0.04;1;1;122.16;0.051;1;1;97.391;0.055;1;1;101.901;0.089;1;1;98.214;0.071;1;1;118.946;0.058;1;1;99.188;0.069;1;1;94.435;0.066;1;1;62.282;0.069;1;1;103.574;0.056;1;1
CA000008024427;AN;109.493;0.249;2;1;115.352;0.214;2;1;86.28;0.254;2;1;91.479;0.253;2;1;117.261;0.161;2;1;144.826;0.207;2;1;80.216;0.218;2;1;111.706;0.302;2;1;101.012;0.259;2;1;124.258;0.228;2;1;105.989;0.266;2;1;106.621;0.253;2;1;66.459;0.262;2;1;105.228;0.222;2;1
CA000008056749;AN;109.415;0.058;1;1;107.374;0.046;1;1;105.19;0.059;1;1;109.402;0.059;1;1;104.845;0.035;1;1;131.391;0.044;1;1;95.695;0.048;1;1;99.204;0.078;1;1;92.221;0.062;1;1;116.933;0.05;1;1;96.169;0.06;1;1;90.557;0.057;1;1;57.612;0.06;1;1;102.05;0.048;1;1
CA000008479630;AN;110.488;0.281;1;1;105.046;0.255;1;1;103.228;0.292;1;1;108.01;0.289;1;1;98.227;0.229;1;1;124.968;0.252;1;1;84.428;0.26;1;1;102.632;0.316;1;1;101.898;0.29;1;1;111.879;0.281;1;1;95.6;0.325;1;1;88.508;0.306;1;1;64.661;0.313;1;1;103.095;0.283;1;1
CA000009031660;AN;104.275;0.282;4;3;103.845;0.239;4;3;99.899;0.284;4;3;105.77;0.284;4;3;106.405;0.172;4;3;131.747;0.229;4;3;95.151;0.242;4;3;98.679;0.348;4;3;91.739;0.292;4;3;116.805;0.25;4;3;96.481;0.291;4;3;95.731;0.279;4;3;54.973;0.29;4;3;100.448;0.24;4;3
CA000011072507;LM;92.791;0.124;1;1;103.509;0.103;1;1;117.157;0.127;1;1;132.415;0.127;1;1;82.132;0.077;1;1;117.264;0.099;1;1;66.889;0.105;1;1;94.31;0.16;1;1;99.949;0.132;1;1;142.396;0.111;1;1;91.098;0.131;1;1;92.523;0.124;1;1;92.926;0.13;1;1;88.145;0.107;1;1
CA000011194605;AN;115.259;0.776;35;19;112.983;0.732;35;19;99.772;0.763;35;19;108.983;0.766;35;19;108.216;0.541;35;19;128.668;0.715;35;19;94.09;0.73;35;19;105.098;0.824;35;19;103.32;0.773;35;19;125.474;0.728;35;19;103.881;0.775;35;19;103.251;0.765;35;19;64.274;0.78;35;19;103.399;0.696;35;19
